year,latitude,longitude,co2
1/1/2015,22.25,114.1667,42.7
1/1/2015,24,54,227.48
1/1/2015,24,90,83.5
1/1/2015,25,45,620.88
1/1/2015,25.5,51.25,120.55
1/1/2015,26,50.55,32.85
1/1/2015,27.5,90.5,0.99
1/1/2015,28,84,7.59
1/1/2015,29.3375,47.6581,102.33
1/1/2015,30,70,172.09
1/1/2015,31,36,23.17
1/1/2015,31.5,34.75,66.1
1/1/2015,32,53,630.36
1/1/2015,33,44,167.71
1/1/2015,33,65,10.11
1/1/2015,33.8333,35.8333,21.27
1/1/2015,35,33,6.9
1/1/2015,35,38,28.93
1/1/2015,35,105,"9,716.47"
1/1/2015,36,138,"1,223.67"
1/1/2015,37,127.5,590.56
1/1/2015,37,127.5,590.56
1/1/2015,39,35,380.86
1/1/2015,39,71,5.46
1/1/2015,40,45,5.79
1/1/2015,40,60,75.38
1/1/2015,40,127,38.4
1/1/2015,40.5,47.5,40.24
1/1/2015,41,64,110.67
1/1/2015,41,75,9.93
1/1/2015,42,43.5,9.46
1/1/2015,46,105,20.36
1/1/2015,48,68,263.48
1/1/2015,60,100,"1,671.90"
1/1/2015,60,100,"1,671.90"
1/1/2015,35,33,6.9
1/1/2015,35.8333,14.5833,1.76
1/1/2015,39,22,74.96
1/1/2015,39,35,380.86
1/1/2015,39.5,-8,52.2
1/1/2015,40,-4,271.73
1/1/2015,40,45,5.79
1/1/2015,40.5,47.5,40.24
1/1/2015,41,20,5.95
1/1/2015,41.8333,22,7.26
1/1/2015,42,19,2.44
1/1/2015,42,43.5,9.46
1/1/2015,42.5,1.6,0.48
1/1/2015,42.8333,12.8333,355.48
1/1/2015,43,25,48.13
1/1/2015,44,18,24.76
1/1/2015,44,21,41.34
1/1/2015,45.1667,15.5,18
1/1/2015,46,2,348.16
1/1/2015,46,15,13.6
1/1/2015,46,25,77.79
1/1/2015,47,8,38.74
1/1/2015,47,20,46.67
1/1/2015,47,29,4.95
1/1/2015,47.1667,9.5333,0.16
1/1/2015,47.3333,13.3333,66.7
1/1/2015,48,68,263.48
1/1/2015,48.6667,19.5,33.9
1/1/2015,49,32,223.58
1/1/2015,49.75,6.1667,9.26
1/1/2015,49.75,15.5,104.78
1/1/2015,50.8333,4,100.23
1/1/2015,51,9,797.08
1/1/2015,52,20,310.62
1/1/2015,52.5,5.75,165.03
1/1/2015,53,-8,38.44
1/1/2015,53,28,58.97
1/1/2015,54,-2,422.66
1/1/2015,56,10,35.32
