Year,Population,Country,CO2 (MT),Country Code,Continent,Continent_Code,GDP
1/1/1961,3486326,Niger,0.05496,NER,Africa,AF,485785231.729353
1/1/1961,46063563,Nigeria,4.1096,NGA,Africa,AF,4467200335.99328
1/1/1961,1829778,Nicaragua,0.56044,NIC,North America,NA,
1/1/1961,11638712,Netherlands,75.8188,NLD,Europe,EU,13493833739.9949
1/1/1961,3609800,Norway,13.3355,NOR,Europe,EU,5632460936.54576
1/1/1961,10267264,Nepal,0.080608,NPL,Asia,AS,531959561.62226
1/1/1961,4632,Nauru,,NRU,Oceania,OC,
1/1/1961,2419700,New Zealand,11.7551,NZL,Oceania,OC,5670064168.21773
1/1/1961,564893,Oman,,OMN,Asia,AS,
1/1/1961,46065231,Pakistan,12.3496,PAK,Asia,AS,4054599181.01638
1/1/1961,1167113,Panama,1.1024,PAN,North America,NA,599026300
1/1/1961,10446620,Peru,8.6336,PER,South America,SA,2899654840.36567
1/1/1961,27161047,Philippines,8.7125,PHL,Asia,AS,7256966966.22556
1/1/1961,10049,Palau,,PLW,Oceania,OC,
1/1/1961,2297059,Papua New Guinea,0.20152,PNG,Oceania,OC,244832035.023504
1/1/1961,29964000,Poland,207.2354,POL,Europe,EU,
1/1/1961,11665595,North Korea,26.4266,PRK,Asia,AS,
1/1/1961,8929316,Portugal,9.078,PRT,Europe,EU,3417516639.37596
1/1/1961,1954548,Paraguay,0.36268,PRY,South America,SA,
1/1/1961,80706,French Polynesia,0.058624,PYF,Oceania,OC,
1/1/1961,51421,Qatar,0.16122,QAT,Asia,AS,
1/1/1961,18555250,Romania,55.7161,ROU,Europe,EU,
1/1/1961,121236000,Russia,917.8258,RUS,Asia,AS,
1/1/1961,121236000,Russia,917.8258,RUS,Europe,EU,
1/1/1961,2998325,Rwanda,0.091495,RWA,Africa,AF,122000016
1/1/1961,4218853,Saudi Arabia,3.5683,SAU,Asia,AS,
1/1/1961,7769482,Sudan,1.2692,SDN,Africa,AF,1419333333.33333
1/1/1961,3295278,Senegal,0.81267,SEN,Africa,AF,836493109.152284
1/1/1961,1702400,Singapore,2.0921,SGP,Asia,AS,764308114.464916
1/1/1961,121378,Solomon Islands,0.014656,SLB,Oceania,OC,
1/1/1961,2352363,Sierra Leone,0.28946,SLE,Africa,AF,327834680.563822
1/1/1961,2846600,El Salvador,0.58228,SLV,North America,NA,
1/1/1961,2814118,Somalia,0.087936,SOM,Africa,AF,
1/1/1961,,Serbia,15.9108,SRB,Europe,EU,
1/1/1961,2895605,South Sudan,0.11542,SSD,Africa,AF,
1/1/1961,64602,Sao Tome and Principe,0.010992,STP,Africa,AF,
1/1/1961,295916,Suriname,0.42869,SUR,South America,SA,98400000
