year,energy,country,lat,lng
1/1/2004,157.8728086,Algeria,28,3
1/1/2004,62.31820585,Egypt,27,30
1/1/2004,229.5152784,Nigeria,10,8
1/1/2004,131.4718401,Kuwait,29.3375,47.6581
1/1/2004,542.5881501,Saudi Arabia,25,45
1/1/2005,13.90603692,Belgium,50.8333,4
1/1/2005,33.20286748,Czech Republic,49.75,15.5
1/1/2005,137.106566,France,46,2
1/1/2005,136.8555109,Germany,51,9
1/1/2005,30.52383989,Italy,42.8333,12.8333
1/1/2005,62.45958184,Netherlands,52.5,5.75
1/1/2005,78.57473553,Poland,52,20
1/1/2005,3.611121455,Portugal,39.5,-8
1/1/2005,28.00239711,Romania,46,25
1/1/2005,31.15637343,Spain,40,-4
1/1/2005,34.54983665,Sweden,62,15
1/1/2005,205.3239748,United Kingdom,54,-2
1/1/2005,224.3874467,Norway,62,10
1/1/2005,118.6449076,Kazakhstan,48,68
1/1/2005,1202.928341,Russia,60,100
1/1/2005,79.17679747,Ukraine,49,32
1/1/2005,401.1026037,Canada,60,-95
1/1/2005,84.68545137,Argentina,-34,-64
1/1/2005,194.9981635,Brazil,-10,-55
1/1/2005,9.337976145,Chile,-30,-71
1/1/2005,78.59981276,Colombia,4,-72
1/1/2005,258.5372717,Mexico,23,-102
1/1/2005,1671.43592,China,35,105
1/1/2005,400.6980192,India,20,77
1/1/2005,279.6243712,Indonesia,-5,120
1/1/2005,103.7490456,Japan,36,138
1/1/2005,96.55788959,Malaysia,2.5,112.5
1/1/2005,46.59065433,South Korea,37,127.5
1/1/2005,12.4850673,Taiwan,23.5,121
1/1/2005,265.1570841,Australia,-27,133
1/1/2005,166.646895,Algeria,28,3
1/1/2005,77.98106083,Egypt,27,30
1/1/2005,233.5432804,Nigeria,10,8
1/1/2005,146.7523486,Kuwait,29.3375,47.6581
1/1/2005,570.9199439,Saudi Arabia,25,45
1/1/2006,13.76958084,Belgium,50.8333,4
1/1/2006,33.85339271,Czech Republic,49.75,15.5
1/1/2006,136.2039637,France,46,2
1/1/2006,138.814438,Germany,51,9
1/1/2006,30.38761826,Italy,42.8333,12.8333
1/1/2006,61.46905477,Netherlands,52.5,5.75
1/1/2006,77.57082843,Poland,52,20
1/1/2006,4.36309634,Portugal,39.5,-8
1/1/2006,28.08054451,Romania,46,25
1/1/2006,31.60210591,Spain,40,-4
1/1/2006,32.65196363,Sweden,62,15
1/1/2006,186.8844693,United Kingdom,54,-2
1/1/2006,215.6198154,Norway,62,10
1/1/2006,127.8646089,Kazakhstan,48,68
1/1/2006,1226.65144,Russia,60,100
1/1/2006,82.37228033,Ukraine,49,32
1/1/2006,417.8761197,Canada,60,-95
1/1/2006,86.02697988,Argentina,-34,-64
1/1/2006,206.6713207,Brazil,-10,-55
1/1/2006,9.622432028,Chile,-30,-71
1/1/2006,83.60119559,Colombia,4,-72
1/1/2006,259.3584631,Mexico,23,-102
1/1/2006,1792.652261,China,35,105
1/1/2006,405.7656103,India,20,77
1/1/2006,313.5172894,Indonesia,-5,120
1/1/2006,104.9738053,Japan,36,138
1/1/2006,94.02013231,Malaysia,2.5,112.5
1/1/2006,47.77070844,South Korea,37,127.5
1/1/2006,12.43596598,Taiwan,23.5,121
1/1/2006,269.8377409,Australia,-27,133
1/1/2006,164.9218197,Algeria,28,3
1/1/2006,80.97320856,Egypt,27,30
1/1/2006,233.2023572,Nigeria,10,8
1/1/2006,150.8652247,Kuwait,29.3375,47.6581
1/1/2006,565.2884329,Saudi Arabia,25,45
1/1/2007,14.39315624,Belgium,50.8333,4
1/1/2007,33.96675184,Czech Republic,49.75,15.5
1/1/2007,134.7220013,France,46,2
1/1/2007,136.3636596,Germany,51,9
